formId,formTitle,state,name,title,type,list
667c137a15854a0b085cd700,Request a form,draft,textField,Name,TextField,
667c137a15854a0b085cd700,Request a form,draft,jwIhMa,Email address,EmailAddressField,
667c137a15854a0b085cd700,Request a form,draft,NzsYde,Your organisation,RadiosField,hqocBW
667c137a15854a0b085cd700,Request a form,draft,drGlJl,Description of your service,MultilineTextField,
667c137a15854a0b085cd700,Request a form,draft,mCZCyf,Existing form,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,ssTfVS,Link for existing form,TextField,
667c137a15854a0b085cd700,Request a form,draft,IeDmsh,Number of annual applications,RadiosField,UEnuwn
667c137a15854a0b085cd700,Request a form,draft,AAWpzq,Payments required,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,ZjlaQC,Documents and images collected,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,fvmVcF,Repeated question sets required,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,ZxksOp,Existing GOV.UK guide,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,TgRZwN,Existing GOV.UK guide link,TextField,
667c137a15854a0b085cd700,Request a form,draft,IQNUjZ,Deadline required,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,EsLGWL,Deadline date,DatePartsField,
667c137a15854a0b085cd700,Request a form,draft,xVmYmG,Reason for deadline,MultilineTextField,
667c137a15854a0b085cd700,Request a form,draft,rPWCXb,Life of form,RadiosField,gJIarM
667c137a15854a0b085cd700,Request a form,draft,lelgfW,Form owner,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,xXayGT,Form owner name,TextField,
667c137a15854a0b085cd700,Request a form,draft,KLUVzu,Form owner email address,EmailAddressField,
667c137a15854a0b085cd700,Request a form,draft,aFqOaH,Calculations required,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,yHMOCZ,Location data required,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,ZtVfWd,Html,Html,
667c137a15854a0b085cd700,Request a form,draft,wNEarp,Have you completed the data protection impact assessment (DPIA) screening questions?,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,PLZgUi,Html,Html,
667c137a15854a0b085cd700,Request a form,draft,JZVUWb,Do submissions need to be routed to different email addresses?,YesNoField,
667c137a15854a0b085cd700,Request a form,draft,SdiIlB,Form updated frequently,YesNoField,
667c137a15854a0b085cd700,Request a form,live,textField,Name,TextField,
667c137a15854a0b085cd700,Request a form,live,jwIhMa,Email address,EmailAddressField,
667c137a15854a0b085cd700,Request a form,live,NzsYde,Your organisation,RadiosField,hqocBW
667c137a15854a0b085cd700,Request a form,live,drGlJl,Description of your service,MultilineTextField,
667c137a15854a0b085cd700,Request a form,live,mCZCyf,Existing form,YesNoField,
667c137a15854a0b085cd700,Request a form,live,ssTfVS,Link for existing form,TextField,
667c137a15854a0b085cd700,Request a form,live,IeDmsh,Number of annual applications,RadiosField,UEnuwn
667c137a15854a0b085cd700,Request a form,live,AAWpzq,Payments required,YesNoField,
667c137a15854a0b085cd700,Request a form,live,ZjlaQC,Documents and images collected,YesNoField,
667c137a15854a0b085cd700,Request a form,live,fvmVcF,Repeated question sets required,YesNoField,
667c137a15854a0b085cd700,Request a form,live,ZxksOp,Existing GOV.UK guide,YesNoField,
667c137a15854a0b085cd700,Request a form,live,TgRZwN,Existing GOV.UK guide link,TextField,
667c137a15854a0b085cd700,Request a form,live,IQNUjZ,Deadline required,YesNoField,
667c137a15854a0b085cd700,Request a form,live,EsLGWL,Deadline date,DatePartsField,
667c137a15854a0b085cd700,Request a form,live,xVmYmG,Reason for deadline,MultilineTextField,
667c137a15854a0b085cd700,Request a form,live,rPWCXb,Life of form,RadiosField,gJIarM
667c137a15854a0b085cd700,Request a form,live,lelgfW,Form owner,YesNoField,
667c137a15854a0b085cd700,Request a form,live,xXayGT,Form owner name,TextField,
667c137a15854a0b085cd700,Request a form,live,KLUVzu,Form owner email address,EmailAddressField,
667c137a15854a0b085cd700,Request a form,live,aFqOaH,Calculations required,YesNoField,
667c137a15854a0b085cd700,Request a form,live,yHMOCZ,Location data required,YesNoField,
667c137a15854a0b085cd700,Request a form,live,ZtVfWd,Html,Html,
667c137a15854a0b085cd700,Request a form,live,wNEarp,Have you completed the data protection impact assessment (DPIA) screening questions?,YesNoField,
667c137a15854a0b085cd700,Request a form,live,PLZgUi,Html,Html,
667c137a15854a0b085cd700,Request a form,live,JZVUWb,Do submissions need to be routed to different email addresses?,YesNoField,
667c137a15854a0b085cd700,Request a form,live,SdiIlB,Form updated frequently,YesNoField,
667d3db83e15d218b60db446,Test form Andrew,draft,textField,This is your first field,TextField,
667d3db83e15d218b60db446,Test form Andrew,draft,owfFnu,,Html,
667d3db83e15d218b60db446,Test form Andrew,draft,dXxzKB,Html,Html,
667d3db83e15d218b60db446,Test form Andrew,draft,BZuqZs,List 1,CheckboxesField,kFWAKs
667d3db83e15d218b60db446,Test form Andrew,draft,ejIXCY,"planned construction, maintenance, operation, or removal works",YesNoField,
667d3db83e15d218b60db446,Test form Andrew,draft,yeXMYj,"Planned construction, maintenance, operation, or removal works",MultilineTextField,
667d3db83e15d218b60db446,Test form Andrew,draft,OtiwDl,Date field,DatePartsField,
667d3db83e15d218b60db446,Test form Andrew,draft,ZkHPbw,Html,Html,
667d3db83e15d218b60db446,Test form Andrew,draft,vKTNgc,What's the name of the SSSI?,TextField,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,xxxx23,Applicant's name,TextField,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,jgaxUB,Telephone number ,TelephoneNumberField,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,WbavfS,Email address ,EmailAddressField,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,YpVSBm,Why are you applying for a licence to control wild birds? ,RadiosField,hsujdZ
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,MWhmjr,Html,Html,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,HnVuHJ,Is the bird species you want to control causing a genuine risk to air safety? ,YesNoField,
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,bNhVtH,which wild birds you want to control? ,CheckboxesField,JdDYiW
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,asalNW,,Html,
